,batch_size,num_workers,num_classes,n,ch,L,T,gamma,ro_ksize,ro_N,init_omg,ensemble,epochs,lr,weight_decay,log_interval,eval_interval,save_interval,seed,final_train_loss,final_train_acc,final_test_loss,final_test_acc
count,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
mean,64.0,4.0,10.0,2.0,128.0,3.0,23.8,0.36999999999999994,3.0,2.0,1.0,1.0,30.0,0.00010000000000000002,0.0,100.0,5.0,20.0,42.0,1.5326542707253805,43.898933333333325,1.4207785603347096,48.35933333333333
std,0.0,0.0,0.0,0.0,0.0,0.0,22.58697475474369,0.4626785369686263,0.0,0.0,0.0,0.0,0.0,1.4028198348682598e-20,0.0,0.0,0.0,0.0,0.0,0.6647412868633767,26.300203919542597,0.7263779359057502,27.860219839832734
min,64.0,4.0,10.0,2.0,128.0,3.0,3.0,0.01,3.0,2.0,1.0,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,0.7680536218540138,12.796,0.612965197320197,13.1
25%,64.0,4.0,10.0,2.0,128.0,3.0,7.0,0.01,3.0,2.0,1.0,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,0.8683529492762997,16.021,0.7109641976607073,19.65
50%,64.0,4.0,10.0,2.0,128.0,3.0,15.0,0.1,3.0,2.0,1.0,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,1.3349630520929157,53.036,1.176020858014465,58.4
75%,64.0,4.0,10.0,2.0,128.0,3.0,31.0,1.0,3.0,2.0,1.0,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,2.2432519448992543,70.043,2.197348830806222,75.59
max,64.0,4.0,10.0,2.0,128.0,3.0,63.0,1.0,3.0,2.0,1.0,1.0,30.0,0.0001,0.0,100.0,5.0,20.0,42.0,2.27977622409001,73.494,2.2741144872774743,78.47
